ID,Datatime_Collection,Li,Na,NH4,K,Mg,Ca,F,Cl,NO2,Br,NO3,PO4,SO4,CO3,HCO3,EC,TDS,pH,pOH,Cations,Anions,Charge Balance
FW100A,,0,0.897554585,0.07278674,0.124277457,0.174778852,1.535106542,0.068849353,0.262854725,0.000728182,0.000669553,0.131496355,0.047145772,0.941603165,#VALUE!,#VALUE!,213,149.1,6.93,7.07,2.804504176,#VALUE!,#VALUE!
FW100B,,0,0.845021834,0.06596818,0.112537726,0.18852088,1.928040321,0.064680493,0.255170663,0.001447669,0.000619493,0.119343913,0.046049653,0.872029981,#VALUE!,#VALUE!,232,162.4,7.33,6.67,3.140088942,#VALUE!,#VALUE!
FW100C,,0,1.016462882,0.076667221,0.140314083,0.182349311,1.703078996,0.069180966,0.2977433,0.000486904,0.000727123,0.155983485,0.047471133,1.096835311,#VALUE!,#VALUE!,205,143.5,7.19,6.81,3.118872492,#VALUE!,#VALUE!
FW101,2/3/2022 17:20,0,0.870262009,0.069571484,0.136758913,0.159637935,1.42003094,0.074323613,0.246629055,0.002041082,0.000717111,0.131607638,0.040730157,0.925852592,0.000298952,0.47,201,140.7,6.83,7.17,2.65626128,1.893573625,16.7629743
FW102,2/4/2022 10:45,0,0.885938865,0.066356228,0.130441455,0.174202839,1.640501023,0.079392568,0.25880677,0.002191066,0.000987435,0.131918908,0.048064996,0.931330418,0.000760062,0.60,211,147.7,7.13,6.87,2.89744041,2.054111141,17.03161645
FW103,2/5/2022 12:10,0,0.7569869,0.049559288,0.10698757,0.218144415,2.448774889,0.063464575,0.25699859,0.001930225,0.000795955,0.1004032,0.039305517,0.69896523,0.020188291,1.33,252,176.4,8.21,5.79,3.580453061,2.509082777,17.59362803
FW104,2/6/2022 18:40,0,0.486855895,0.025167692,0.06307228,0.277226908,3.327710964,0.032071797,0.191695346,0.000460819,0.00070835,0.063924908,0.026041524,0.395586092,0.011274503,2.29,294,205.8,7.72,6.28,4.180033739,3.011992768,16.24077678
FW105,2/7/2022 13:40,0,0.345371179,0.011586008,0.036037649,0.357951039,4.512301013,0.018580903,0.173585331,0,0.000679565,0.037539514,0.018665619,0.186354362,0.011064513,2.70,298,208.6,7.64,6.36,5.263246888,3.148645258,25.13823992
FW106,2/8/2022 11:40,0,0.28720524,0.005709851,0.04675431,0.348899403,4.282798543,0.020212654,0.157486601,0,0.00066705,0.025587059,0.014606503,0.099691859,0.011845041,3.03,319,223.3,7.62,6.38,4.971367347,3.35922899,19.35201626
FW107,2/9/2022 16:00,0,0.264148472,0.008647929,0.00338892,0.321168484,3.87644094,0.016964944,0.148885755,0,0.000581948,0.02627895,0.014290618,0.109689777,0.013755379,2.86,308,215.6,7.71,6.29,4.473794745,3.189714146,16.75577881
FW108,2/10/2022 11:20,0,0.255458515,0,0.021458898,0.349722279,4.267927541,0.011295926,0.150623413,0,0.000613236,0.025940262,0.011314985,0.076064959,0.01387034,3.02,318,222.6,7.69,6.31,4.894567234,3.308760682,19.33125883
FW109,2/11/2022 10:45,0,0.232532751,0,0.021100824,0.338695742,4.175358052,0.009490473,0.139435825,0,0.000531888,0.021822786,0.013194499,0.073456173,0.013221639,3.08,326,228.2,7.66,6.34,4.767687368,3.354818289,17.39449793
FW110,2/12/2022 15:20,0,0.273449782,0,0.027622896,0.384859082,5.012824991,0.010885356,0.161125529,0,0.000619493,0.025480614,0.01653024,0.087740995,0.011658784,3.27,338,236.6,7.58,6.42,5.698756752,3.583191016,22.79226073
FW111,2/13/2022 15:35,0,0.21720524,0,0.018952376,0.329561819,4.042217676,0.009364144,0.13393512,0,0.000748398,0.02024063,0.013800997,0.062673329,0.017655951,2.98,311,217.7,7.8,6.2,4.60793711,3.241552787,17.40730088
FW112,2/14/2022 11:25,0,0.223668122,0,0.021714666,0.336309401,4.060981087,0.01038004,0.136211566,0,0.001106328,0.025370944,0.011990978,0.062086196,0.009995034,3.00,313,219.1,7.55,6.45,4.642673276,3.260213583,17.49309737
FW113,2/16/2022 11:45,0,0.238777293,0,0.021637935,0.326023452,3.675083587,0.010232656,0.136897038,0,0.000579445,0.027177279,0.024379971,0.084474287,0.009663383,2.71,289,202.3,7.58,6.42,4.261522267,3.003035047,17.32366015
FW114,2/17/2022 12:35,0,0.219956332,0,0.022737736,0.323225674,4.026448426,0.011885462,0.12796897,0.000936855,0.000843512,0.026478937,0.018081233,0.076585467,0.012371681,2.95,307,214.9,7.65,6.35,4.592368167,3.227792013,17.44946551
FW115,2/18/2022 10:20,0,0.169432314,0,0.014067216,0.261509977,3.189730026,0.009422044,0.102138223,0.000573851,0.001193933,0.020635765,0.02022293,0.052689985,0.008483376,2.79,293,205.1,7.51,6.49,3.634739534,3.010159556,9.399389956
FW116,2/19/2022 14:45,0,0.115633188,0.005044626,0.007749757,0.204649249,2.426667997,0.008790399,0.07132299,0.000536898,0.000764668,0.015081285,0.013118686,0.041521965,0.01340873,2.66,277,193.9,7.73,6.27,2.759744817,2.826305137,-1.191545373
FW117,2/20/2022 11:15,0,0.167772926,0,0.014246253,0.262085991,3.524976296,0.01121697,0.099568406,0.000628193,0.000385463,0.017973034,0.014000004,0.055960858,0.013376598,2.54,263,184.1,7.75,6.25,3.969081466,2.748983891,18.16144246
FW118,2/21/2022 17:00,0,0.189082969,0,0.018312957,0.279119523,3.325116024,0.012117065,0.110270804,0.000854255,0.000909842,0.024004903,0.021435927,0.068679992,0.009975768,2.67,281,196.7,7.6,6.4,3.811631473,2.91958091,13.25245012
FW120,2/22/2022 11:30,0,0.21510917,0,0.014911249,0.325447439,3.396975897,0.011106432,0.129833568,0.000967286,0.000647026,0.025306432,0.021597028,0.067405788,0.014105228,2.38,251,175.7,7.8,6.2,3.952443755,2.654175447,19.65102374
FW121,2/23/2022 10:45,0,0.205021834,0,0.015883165,0.310964822,3.588452518,0.009790504,0.125396333,0,0.001699539,0.024814528,0.020886288,0.058278159,0.011895872,2.71,286,200.2,7.67,6.33,4.120322339,2.964063996,16.32122089
FW122,2/24/2022 16:40,0,0.174148472,0.005210932,0.016752775,0.271795927,2.978591746,0.0120539,0.113091678,0.001275948,0.00045805,0.019829366,0.020418779,0.052104934,0.013961402,2.20,234,163.8,7.83,6.17,3.446499851,2.434655639,17.20485395
FW123,2/25/2022 11:20,0,0.132838428,0,0.009258786,0.222094219,2.588901642,0.010690599,0.136592384,0,0,0.025164506,0.015228795,0.059666875,0.014561705,2.14,225,157.5,7.86,6.14,2.953093075,2.404766993,10.23405006
FW124,2/26/2022 14:10,0,0.203624454,0,0.021203131,0.315326065,3.919057837,0.011269607,0.121661495,0,0.000518122,0.021182504,0.016024824,0.062542161,0.015839175,2.62,272,190.4,7.81,6.19,4.459211487,2.864293458,21.77806994
FW125,2/27/2022 15:30,0,0.222707424,0.006042464,0.019463911,0.329973257,4.199411148,0.010806401,0.134933709,5.86893E-05,0.000506858,0.024206503,0.016454427,0.069958359,0.015150976,3.08,321,224.7,7.72,6.28,4.777598203,3.349744729,17.56851515
FW126,2/28/2022 10:10,0,0.22279476,0.006596818,0.021100824,0.324953713,4.271770048,0.030240025,0.131681241,0,0.000561924,0.024298432,0.016236467,0.072956486,0.014020499,3.12,326,228.2,7.68,6.32,4.847216163,3.412804203,17.36571942
